Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
Rolex,Submariner No-Date,124060,Diver,Rolex 3230,In-house,Automatic,9100,9800,2024,41.0,21.0,12.5,300,Sapphire,155,Stainless Steel,Oyster Bracelet,Ceramic,70,None,Men,Switzerland
Rolex,Submariner Date,126610LN,Diver,Rolex 3235,In-house,Automatic,10250,12300,2024,41.0,21.0,12.5,300,Sapphire,157,Stainless Steel,Oyster Bracelet,Ceramic,70,Date,Men,Switzerland
Rolex,Submariner Date 'Hulk',126610LV,Diver,Rolex 3235,In-house,Automatic,10900,14500,2023,41.0,21.0,12.5,300,Sapphire,157,Stainless Steel,Oyster Bracelet,Ceramic,70,Date,Men,Switzerland
Rolex,Sea-Dweller,126600,Diver,Rolex 3235,In-house,Automatic,13550,12800,2024,43.0,22.0,15.0,1220,Sapphire,185,Stainless Steel,Oyster Bracelet,Ceramic,70,Date,Men,Switzerland
Rolex,Deepsea,136660,Diver,Rolex 3235,In-house,Automatic,14800,14000,2024,44.0,22.0,18.0,3900,Sapphire,215,Stainless Steel,Oyster Bracelet,Ceramic,70,Date,Men,Switzerland
Rolex,GMT-Master II 'Pepsi',126710BLRO,GMT,Rolex 3285,In-house,Automatic,10700,18500,2024,40.0,20.0,12.0,100,Sapphire,150,Stainless Steel,Jubilee Bracelet,Ceramic,70,GMT,Men,Switzerland
Rolex,GMT-Master II 'Batman',126710BLNR,GMT,Rolex 3285,In-house,Automatic,10700,17000,2024,40.0,20.0,12.0,100,Sapphire,150,Stainless Steel,Jubilee Bracelet,Ceramic,70,GMT,Men,Switzerland
Rolex,GMT-Master II 'Sprite',126720VTNR,GMT,Rolex 3285,In-house,Automatic,11050,17500,2023,40.0,20.0,12.0,100,Sapphire,150,Stainless Steel,Oyster Bracelet,Ceramic,70,GMT,Men,Switzerland
Rolex,Cosmograph Daytona,126500LN,Chronograph,Rolex 4131,In-house,Automatic,15900,32000,2024,40.0,20.0,11.9,100,Sapphire,140,Stainless Steel,Oyster Bracelet,Ceramic,72,Chronograph,Men,Switzerland
Rolex,Datejust 41,126334,Dress,Rolex 3235,In-house,Automatic,9000,8700,2024,41.0,21.0,11.9,100,Sapphire,150,Stainless Steel,Oyster Bracelet,White Gold Fluted,70,Date,Men,Switzerland
Rolex,Datejust 36,126200,Dress,Rolex 3235,In-house,Automatic,7700,7200,2024,36.0,20.0,11.6,100,Sapphire,125,Stainless Steel,Jubilee Bracelet,Steel,70,Date,Unisex,Switzerland
Rolex,Day-Date 40,228238,Luxury,Rolex 3255,In-house,Automatic,41800,38000,2024,40.0,21.0,11.8,100,Sapphire,195,Yellow Gold,President Bracelet,Yellow Gold Fluted,70,Day-Date,Men,Switzerland
Rolex,Oyster Perpetual 41,124300,Sport,Rolex 3230,In-house,Automatic,6400,7100,2024,41.0,21.0,11.8,100,Sapphire,150,Stainless Steel,Oyster Bracelet,Steel,70,None,Men,Switzerland
Rolex,Oyster Perpetual 36,126000,Sport,Rolex 3230,In-house,Automatic,5800,6500,2024,36.0,20.0,11.6,100,Sapphire,130,Stainless Steel,Oyster Bracelet,Steel,70,None,Unisex,Switzerland
Rolex,Explorer 36,124270,Field,Rolex 3230,In-house,Automatic,7250,7600,2024,36.0,19.0,11.6,100,Sapphire,125,Stainless Steel,Oyster Bracelet,Steel,70,None,Unisex,Switzerland
Rolex,Explorer II,226570,GMT,Rolex 3285,In-house,Automatic,9600,9200,2024,42.0,21.0,12.5,100,Sapphire,165,Stainless Steel,Oyster Bracelet,Steel,70,GMT,Men,Switzerland
Rolex,Sky-Dweller,336934,Luxury,Rolex 9002,In-house,Automatic,16600,17500,2024,42.0,21.0,14.0,100,Sapphire,175,Stainless Steel,Oyster Bracelet,White Gold Fluted,72,"Annual Calendar, GMT",Men,Switzerland
Rolex,Yacht-Master 42,226658,Sport,Rolex 3235,In-house,Automatic,30100,28500,2024,42.0,22.0,12.3,100,Sapphire,165,Yellow Gold,Oysterflex,Ceramic,70,Date,Men,Switzerland
Rolex,Air-King,126900,Pilot,Rolex 3230,In-house,Automatic,7400,7000,2024,40.0,20.0,11.6,100,Sapphire,150,Stainless Steel,Oyster Bracelet,Steel,70,None,Men,Switzerland
Rolex,1908,52508,Dress,Rolex 7140,In-house,Automatic,22550,19000,2024,39.0,19.0,9.5,50,Sapphire,95,White Gold,Leather,White Gold,66,Small Seconds,Men,Switzerland
Rolex,Land-Dweller 40,127334,Sport,Rolex 7135,In-house,Automatic,14800,15500,2025,40.0,21.0,9.7,100,Sapphire,160,Stainless Steel,Flat Jubilee,White Gold Fluted,66,Date,Men,Switzerland
