Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
Omega,Speedmaster Professional Moonwatch,311.30.42.30.01.005,Chronograph,Omega 1861,Lemania 1873,Manual,6600,4300,2021,42,20,13.7,50,Hesalite,134,Stainless Steel,Bracelet,Aluminum,48,Chronograph,Male,Switzerland
Rolex,Submariner Date,126610LN,Diver,Rolex 3235,In-house,Automatic,10100,12400,2023,41,21,12.5,300,Sapphire,155,Stainless Steel,Oyster Bracelet,Ceramic,70,Date,Male,Switzerland
Seiko,Prospex Turtle SRP777K1,SRP777K1,Diver,Seiko 4R36,In-house,Automatic,495,300,2022,44.3,22,13.4,200,Hardlex,,Stainless Steel,Silicone,Stainless Steel,41,Day-Date,Male,Japan
Breitling,Navitimer B01 Chronograph 43,AB0121211B1A1,Chronograph,Breitling B01,In-house,Automatic,8600,5200,2020,43,22,14.2,30,Sapphire,140,Stainless Steel,Bracelet,Steel,70,Chronograph,Male,Switzerland
Tag Heuer,Carrera Calibre 16,CBM2112.BA0651,Chronograph,Calibre 16,Valjoux 7750,Automatic,4800,2800,2021,41,22,16,100,Sapphire,150,Stainless Steel,Bracelet,Steel,42,Chronograph,Male,Switzerland
Tissot,Le Locle Powermatic 80,T006.407.11.033.00,Dress,ETA C07.111,ETA 2824-2,Automatic,695,400,2022,39.3,19,9.8,30,Sapphire,120,Stainless Steel,Bracelet,Steel,80,Date,Male,Switzerland
Longines,HydroConquest,L3.781.4.56.6,Diver,L888.2,ETA A31.L01,Automatic,1775,1100,2023,41,21,11.9,300,Sapphire,185,Stainless Steel,Bracelet,Ceramic,64,Date,Male,Switzerland
Hamilton,Khaki Field Mechanical,H69439931,Field,H-50,ETA 2801-2,Manual,595,450,2022,38,20,9.6,50,Sapphire,70,Stainless Steel,NATO,,80,None,Male,Switzerland
Citizen,Promaster Diver,BN0150-28E,Diver,E168,,Quartz,395,180,2023,44,20,11.5,200,Mineral,,Stainless Steel,Rubber,Aluminum,,Date,Male,Japan
Casio,G-Shock GA-2100,GA-2100-1A1,Digital,Casio Module 5611,,Quartz,99,85,2023,45.4,20,11.8,200,Mineral,,Resin,Resin,Carbon,,Day-Date,Male,Japan
Oris,Aquis Date,01 733 7730 4135-07 8 24 05PEB,Diver,Oris 733,SW 200-1,Automatic,2300,1350,2023,43.5,24,13,300,Sapphire,,Stainless Steel,Bracelet,Ceramic,38,Date,Male,Switzerland
Nomos,Tangente 38,TN1A1W1,Dress,Alpha,Nomos Alpha,Manual,1940,1350,2022,37.5,19,6.7,30,Sapphire,45,Stainless Steel,Leather,,43,None,Male,Germany
IWC,Portofino Automatic,IW356501,Dress,Calibre 35111,ETA 2892-A2,Automatic,5100,2900,2022,40,20,9.2,30,Sapphire,74,Stainless Steel,Leather,,42,Date,Male,Switzerland
Grand Seiko,SBGA211 “Snowflake”,SBGA211,Dress,Spring Drive 9R65,In-house,Spring Drive,6300,4100,2023,41,20,12.5,100,Sapphire,100,Titanium,Bracelet,,72,Date,Male,Japan
Panerai,Luminor Base Logo PAM01086,PAM01086,Dress,P.6000,In-house,Manual,5300,4100,2023,44,24,13.2,100,Sapphire,,Stainless Steel,Leather,,72,None,Male,Switzerland
Vacheron Constantin,Patrimony 81180/000P-B064,81180/000P-B064,Dress,Calibre 1400,In-house,Manual,21000,13500,2022,40,20,6.8,30,Sapphire,,Platinum,Leather,,40,None,Male,Switzerland
Audemars Piguet,Royal Oak Selfwinding,15500ST.OO.1220ST.04,Luxury,Calibre 4302,In-house,Automatic,23800,31500,2023,41,20,10.4,50,Sapphire,,Stainless Steel,Bracelet,Steel,70,Date,Male,Switzerland
Patek Philippe,Nautilus 5711/1A,5711/1A,Luxury,Calibre 26-330 S C,In-house,Automatic,34300,108000,2021,40,21,8.3,120,Sapphire,,Stainless Steel,Bracelet,Steel,45,Date,Male,Switzerland
Tudor,Black Bay Fifty-Eight,M79030N-0001,Diver,MT5402,In-house,Automatic,3990,3200,2023,39,20,11.9,200,Sapphire,135,Stainless Steel,Bracelet,Steel,70,None,Male,Switzerland
Glashütte Original,Senator Excellence,1-36-01-01-02-30,Dress,Calibre 36-01,In-house,Automatic,9700,5900,2023,40,20,10,50,Sapphire,95,Stainless Steel,Leather,,100,Date,Male,Germany
Cartier,Tank Must,WSTA0040,Dress,1847 MC,In-house,Automatic,3050,2300,2023,33.7,19,9.3,30,Sapphire,,Stainless Steel,Leather,,40,None,Unisex,Switzerland
Baume & Mercier,Clifton Baumatic M0A10467,M0A10467,Dress,Baumatic BM13-1975A,In-house,Automatic,3200,1800,2022,40,20,10.3,50,Sapphire,,Stainless Steel,Leather,,120,Date,Male,Switzerland
Zenith,Chronomaster Sport,03.3100.3600/69.M3100,Chronograph,El Primero 3600,In-house,Automatic,10600,8800,2023,41,20,13.6,100,Sapphire,,Stainless Steel,Bracelet,Ceramic,60,Chronograph,Male,Switzerland
Montblanc,1858 Geosphere,119909,Adventure,MB 29.25,Selitta SW300,Automatic,6300,3700,2022,42,22,12.8,100,Sapphire,,Bronze,Leather,,42,World Time,Male,Switzerland
Ulysse Nardin,Diver Chronometer,1183-170/92,Diver,UN-118,In-house,Automatic,8600,5500,2023,44,21,13.5,300,Sapphire,,Titanium,Rubber,,60,Chronometer,Male,Switzerland
Bell & Ross,BR 03-92 Diver,BR0392-D-BL-ST/SRB,Diver,BR-CAL.302,SW 300-1,Automatic,4200,2900,2022,42,24,12.1,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,Switzerland
Hublot,Classic Fusion 42mm,542.NX.1171.LR,Dress,HUB1110,SW300-1,Automatic,7200,4600,2023,42,20,10.2,50,Sapphire,,Titanium,Leather/Nylon,,42,Date,Male,Switzerland
Blancpain,Fifty Fathoms Bathyscaphe,5000-1110-B52A,Diver,Calibre 1315,In-house,Automatic,10700,7300,2023,43,23,13.4,300,Sapphire,,Steel,Sailcloth,,120,Date,Male,Switzerland
Nomos,Club Campus 38,737,Dress,Alpha,Nomos Alpha,Manual,1650,1200,2023,38.5,20,8.5,100,Sapphire,,Stainless Steel,Leather,,43,None,Unisex,Germany
Frederique Constant,Highlife Automatic COSC,FC-303SB2NH6B,Dress,FC-303,SW200-1,Automatic,1895,1100,2022,41,22,10.2,100,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Rado,Captain Cook Automatic,R32505203,Diver,Rado Calibre R763,ETA C07.611,Automatic,2250,1600,2023,42,21,12.3,300,Sapphire,,Stainless Steel,Bracelet,Ceramic,80,Date,Male,Switzerland
Ball,Engineer III Marvelight,NL1026C-S3A-BE,Dress,Ball RR1103,ETA 2824-2,Automatic,2700,1850,2023,40,20,13.5,100,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Mido,Ocean Star Tribute,M026.830.11.041.00,Diver,Mido Caliber 80,ETA C07.621,Automatic,1150,790,2022,40.5,21,13.4,200,Sapphire,,Stainless Steel,Bracelet,Aluminum,80,Day-Date,Male,Switzerland
